client_id,client_name,industry_sector,annual_revenue_bhd,years_with_nbb,existing_products,last_transaction_date,avg_monthly_balance_bhd,fx_volume_bhd,trade_finance_usage,loan_outstanding_bhd,relationship_manager
NBB-CORP-0001,Gulf Holdings,Oil & Gas,12500000,8.5,"Corporate Current Accounts,Internet Banking – Corporate (NBB Direct)",2026-03-15,450000,850000,yes,0,Ahmed Al-Khalifa
NBB-CORP-0002,Al-Baraka Contracting,Construction,3200000,4.2,"Corporate Current Accounts,Corporate Term Loans",2026-03-20,120000,0,no,1500000,Sara Al-Mannai
NBB-CORP-0003,Falcon Trading,Retail & Wholesale Trade,980000,2.1,"Corporate Current Accounts,Corporate Overdraft Facilities",2026-03-25,38000,45000,yes,0,Khalid Al-Zayani
NBB-CORP-0004,Bahrain Tech Solutions,Information Technology,1750000,5.7,"Corporate Current Accounts,Internet Banking – Corporate (NBB Direct),Payroll Management Services (WPS – Wage Protection System)",2026-03-10,75000,120000,no,200000,Fatima Al-Dosari
NBB-CORP-0005,Crescent Real Estate,Real Estate,28000000,12.0,"Corporate Current Accounts,Corporate Term Loans,Investment Products – Fixed Deposits (BHD & USD)",2026-02-28,2100000,0,no,8500000,Mohammed Al-Rumaihi
NBB-CORP-0006,Pearl Hospitality Group,Hospitality & Tourism,5600000,6.8,"Corporate Current Accounts,Corporate Credit Cards,Payroll Management Services (WPS – Wage Protection System)",2026-03-18,220000,310000,no,750000,Noura Al-Saffar
NBB-CORP-0007,Horizon Manufacturing,Manufacturing,4300000,9.3,"Corporate Current Accounts,Working Capital Finance,Trade Finance – Letters of Credit (LC)",2026-03-22,195000,680000,yes,900000,Yousif Al-Qassim
NBB-CORP-0008,Delta Logistics,Logistics & Transportation,2100000,3.5,"Corporate Current Accounts,Foreign Exchange (FX) Solutions – Spot, Forward, Swap",2026-03-12,88000,920000,no,0,Maryam Al-Shaikh
NBB-CORP-0009,Manama Healthcare,Healthcare,1450000,7.1,"Corporate Current Accounts,Corporate Term Loans,Internet Banking – Corporate (NBB Direct)",2026-03-08,62000,0,no,380000,Ahmed Al-Khalifa
NBB-CORP-0010,Arabian Food & Beverage,Food & Beverage,2850000,4.9,"Corporate Current Accounts,Payroll Management Services (WPS – Wage Protection System)",2026-03-29,108000,55000,yes,420000,Sara Al-Mannai
